,id,publish_date,sold_date,days_to_sell
301,1796,2016-03-27,2016-04-09,13
302,1815,2016-03-27,2016-04-30,34
303,1816,2016-03-27,2016-04-30,34
304,1831,2016-03-27,2016-04-07,11
305,1832,2016-03-27,2016-04-09,13
306,1833,2016-03-27,2016-04-16,20
307,1836,2016-03-27,2016-04-07,11
308,1844,2016-03-27,2016-04-21,25
309,1848,2016-03-27,2016-04-07,11
310,1851,2016-03-27,2016-04-16,20
311,1861,2016-03-27,2016-04-07,11
312,1862,2016-03-27,2016-04-16,20
313,1875,2016-03-27,2016-04-24,28
314,1881,2016-03-27,2016-04-08,12
315,1889,2016-03-27,2016-04-09,13
316,1890,2016-03-27,2016-04-09,13
317,1892,2016-03-27,2016-05-09,43
318,1893,2016-03-27,2016-05-31,65
319,1897,2016-03-27,2016-04-16,20
320,1916,2016-03-27,2016-04-16,20
321,1927,2016-03-27,2016-04-16,20
322,1929,2016-03-27,2016-04-09,13
323,1932,2016-03-27,2016-04-07,11
324,1935,2016-03-27,2016-04-07,11
325,1936,2016-03-27,2016-04-08,12
326,1944,2016-03-27,2016-04-09,13
327,1945,2016-03-27,2016-04-08,12
328,1946,2016-03-27,2016-04-08,12
329,1950,2016-03-27,2016-04-21,25
330,1952,2016-03-27,2016-04-30,34
331,1955,2016-03-27,2016-05-22,56
332,1959,2016-03-27,2016-04-16,20
333,1966,2016-03-27,2016-04-07,11
334,1981,2016-03-27,2016-04-30,34
335,1984,2016-03-27,2016-04-08,12
336,1994,2016-03-27,2016-04-30,34
337,1995,2016-03-27,2016-04-16,20
338,1999,2016-03-27,2016-04-09,13
339,2001,2016-03-27,2016-04-08,12
340,2004,2016-03-27,2016-04-30,34
341,2012,2016-03-27,2016-04-09,13
342,2019,2016-03-27,2016-04-07,11
343,2020,2016-03-27,2016-05-05,39
344,2024,2016-03-27,2016-04-08,12
345,2032,2016-03-27,2016-04-07,11
346,2033,2016-03-27,2016-04-22,26
347,2042,2016-03-27,2016-05-15,49
348,2049,2016-03-27,2016-04-07,11
349,2054,2016-03-27,2016-04-07,11
350,2056,2016-03-27,2016-06-11,76
351,2062,2016-03-27,2016-04-22,26
352,2064,2016-03-27,2016-05-18,52
353,2067,2016-03-27,2016-04-07,11
354,2070,2016-03-27,2016-04-07,11
355,2071,2016-03-27,2016-04-16,20
356,2077,2016-03-27,2016-04-07,11
357,2078,2016-03-27,2016-04-07,11
358,2080,2016-03-27,2016-04-16,20
359,2090,2016-03-27,2016-04-07,11
360,2092,2016-03-27,2016-04-07,11
361,2097,2016-03-27,2016-04-16,20
362,2098,2016-03-27,2016-04-07,11
363,2099,2016-03-27,2016-05-05,39
364,2101,2016-03-27,2016-05-20,54
365,2104,2016-03-27,2016-04-16,20
366,2107,2016-03-27,2016-04-17,21
367,2108,2016-03-27,2016-04-09,13
368,2111,2016-03-27,2016-04-08,12
369,2133,2016-03-27,2016-04-07,11
370,2141,2016-03-27,2016-04-07,11
371,2143,2016-03-27,2016-04-07,11
372,2146,2016-03-27,2016-04-07,11
373,2148,2016-03-27,2016-06-13,78
374,2152,2016-03-27,2016-04-09,13
375,2157,2016-03-27,2016-04-07,11
376,2173,2016-03-27,2016-04-16,20
377,2182,2016-03-27,2016-05-07,41
378,2186,2016-03-27,2016-04-08,12
379,2188,2016-03-27,2016-04-07,11
380,2197,2016-03-27,2016-04-16,20
381,2206,2016-03-27,2016-05-06,40
382,2215,2016-03-27,2016-05-19,53
383,2219,2016-03-27,2016-04-07,11
384,2221,2016-03-27,2016-06-15,80
385,2225,2016-03-27,2016-04-30,34
386,2232,2016-03-27,2016-04-08,12
387,2233,2016-03-27,2016-04-07,11
388,2238,2016-03-27,2016-04-07,11
389,2261,2016-03-27,2016-04-16,20
390,2263,2016-03-27,2016-04-16,20
391,2268,2016-03-27,2016-04-09,13
392,2270,2016-03-27,2016-04-07,11
393,2274,2016-03-27,2016-04-09,13
394,2278,2016-03-27,2016-04-07,11
395,2279,2016-03-27,2016-04-08,12
396,2285,2016-03-27,2016-05-15,49
397,2288,2016-03-27,2016-04-30,34
398,2294,2016-03-27,2016-05-09,43
399,2304,2016-03-27,2016-04-30,34
400,2312,2016-03-27,2016-06-11,76
401,2315,2016-03-27,2016-04-08,12
402,2322,2016-03-27,2016-04-21,25
403,2324,2016-03-27,2016-04-07,11
404,2325,2016-03-27,2016-04-09,13
405,2335,2016-03-27,2016-04-30,34
406,2339,2016-03-27,2016-04-07,11
407,2340,2016-03-27,2016-04-22,26
408,2348,2016-03-27,2016-04-16,20
409,2349,2016-03-27,2016-04-22,26
410,2352,2016-03-27,2016-04-07,11
411,2359,2016-03-27,2016-04-22,26
412,2360,2016-03-27,2016-04-07,11
413,2362,2016-03-27,2016-05-26,60
414,2366,2016-03-27,2016-04-07,11
415,2369,2016-03-27,2016-06-11,76
416,2370,2016-03-27,2016-05-17,51
417,2373,2016-03-27,2016-04-07,11
418,2377,2016-03-27,2016-04-24,28
419,2380,2016-03-27,2016-04-22,26
420,2381,2016-03-27,2016-04-09,13
421,2385,2016-03-27,2016-04-07,11
422,2387,2016-03-27,2016-04-07,11
423,2389,2016-03-27,2016-04-22,26
424,2393,2016-03-27,2016-04-08,12
425,2394,2016-03-27,2016-05-26,60
426,2396,2016-03-27,2016-04-07,11
427,2403,2016-03-27,2016-04-16,20
428,2412,2016-03-27,2016-04-16,20
429,2413,2016-03-27,2016-04-07,11
430,2420,2016-03-27,2016-04-07,11
431,2427,2016-03-27,2016-05-21,55
432,2430,2016-03-27,2016-04-07,11
433,2435,2016-03-27,2016-04-07,11
434,2440,2016-03-27,2016-07-03,98
435,2441,2016-03-27,2016-06-05,70
436,2442,2016-03-27,2016-04-22,26
437,2446,2016-03-27,2016-05-07,41
438,2448,2016-03-27,2016-04-30,34
439,2451,2016-03-27,2016-04-30,34
440,2469,2016-03-27,2016-04-07,11
441,2470,2016-03-27,2016-04-16,20
442,2479,2016-03-27,2016-04-09,13
443,2485,2016-03-27,2016-05-12,46
444,2501,2016-03-27,2016-04-07,11
445,2505,2016-03-27,2016-05-07,41
446,2524,2016-03-27,2016-04-07,11
447,2532,2016-03-27,2016-05-05,39
448,2534,2016-03-27,2016-04-08,12
449,2543,2016-03-27,2016-06-10,75
450,2548,2016-03-27,2016-04-07,11
451,2549,2016-03-27,2016-04-07,11
452,2552,2016-03-27,2016-06-03,68
453,2556,2016-03-27,2016-04-16,20
454,2557,2016-03-27,2016-04-07,11
455,2565,2016-03-27,2016-04-16,20
456,2579,2016-03-27,2016-04-16,20
457,2595,2016-03-27,2016-05-19,53
458,2596,2016-03-27,2016-04-08,12
459,2598,2016-03-27,2016-04-16,20
460,2607,2016-03-27,2016-05-06,40
461,2611,2016-03-27,2016-04-08,12
462,2619,2016-03-27,2016-04-07,11
463,2625,2016-03-27,2016-05-24,58
464,2630,2016-03-27,2016-04-16,20
465,2650,2016-03-27,2016-04-19,23
466,2652,2016-03-27,2016-04-07,11
467,2656,2016-03-27,2016-04-09,13
468,2658,2016-03-27,2016-05-25,59
469,2664,2016-03-27,2016-04-16,20
470,2672,2016-03-27,2016-04-08,12
471,2676,2016-03-27,2016-04-07,11
472,2679,2016-03-27,2016-04-07,11
473,2681,2016-03-27,2016-04-08,12
474,2691,2016-03-27,2016-04-07,11
475,2692,2016-03-27,2016-04-07,11
476,2695,2016-03-27,2016-05-07,41
477,2702,2016-03-27,2016-04-16,20
478,2704,2016-03-27,2016-04-16,20
479,2706,2016-03-27,2016-04-16,20
480,2707,2016-03-27,2016-04-07,11
481,2708,2016-03-27,2016-04-08,12
482,2709,2016-03-27,2016-04-09,13
483,2711,2016-03-27,2016-07-01,96
484,2712,2016-03-27,2016-04-08,12
485,2713,2016-03-27,2016-04-30,34
486,2714,2016-03-27,2016-04-07,11
487,2733,2016-03-27,2016-04-07,11
488,2739,2016-03-27,2016-05-10,44
489,2740,2016-03-27,2016-04-30,34
490,2744,2016-03-27,2016-04-07,11
491,2745,2016-03-27,2016-04-30,34
492,2750,2016-03-27,2016-04-07,11
493,2752,2016-03-27,2016-04-16,20
494,2779,2016-03-27,2016-04-16,20
495,2785,2016-03-27,2016-04-21,25
496,2789,2016-03-27,2016-04-30,34
497,2792,2016-03-27,2016-04-08,12
498,2797,2016-03-27,2016-04-21,25
499,2801,2016-03-27,2016-06-25,90
500,2807,2016-03-27,2016-06-25,90
501,2808,2016-03-27,2016-04-16,20
502,2809,2016-03-27,2016-04-30,34
503,2813,2016-03-27,2016-04-07,11
504,2839,2016-03-27,2016-04-07,11
505,2846,2016-03-27,2016-04-16,20
506,2851,2016-03-27,2016-04-07,11
507,2864,2016-03-27,2016-04-07,11
508,2866,2016-03-27,2016-05-03,37
509,2888,2016-03-27,2016-06-25,90
510,2891,2016-03-27,2016-05-20,54
511,2892,2016-03-27,2016-04-08,12
512,2893,2016-03-27,2016-04-07,11
513,2894,2016-03-27,2016-04-22,26
514,2895,2016-03-27,2016-06-25,90
515,2897,2016-03-27,2016-05-09,43
516,2898,2016-03-27,2016-05-03,37
517,2912,2016-03-27,2016-04-16,20
518,2925,2016-03-27,2016-04-07,11
519,2932,2016-03-27,2016-04-16,20
520,2937,2016-03-27,2016-05-05,39
521,2938,2016-03-27,2016-05-17,51
522,2940,2016-03-27,2016-06-21,86
523,2950,2016-03-27,2016-05-13,47
524,2951,2016-03-27,2016-04-08,12
525,2953,2016-03-27,2016-04-22,26
526,2954,2016-03-27,2016-06-03,68
527,2959,2016-03-27,2016-04-07,11
528,2967,2016-03-27,2016-04-07,11
529,2983,2016-03-27,2016-04-21,25
530,2991,2016-03-27,2016-06-17,82
531,2993,2016-03-27,2016-04-07,11
532,2994,2016-03-27,2016-04-20,24
533,2995,2016-03-27,2016-04-16,20
534,2996,2016-03-27,2016-04-16,20
535,2997,2016-03-27,2016-04-07,11
536,2998,2016-03-27,2016-04-16,20
537,3006,2016-03-27,2016-04-16,20
538,3027,2016-03-27,2016-05-03,37
539,3028,2016-03-27,2016-04-09,13
540,3031,2016-03-27,2016-05-20,54
541,3032,2016-03-27,2016-04-21,25
542,3039,2016-03-27,2016-06-28,93
543,3052,2016-03-27,2016-04-22,26
544,3055,2016-03-27,2016-05-05,39
545,3059,2016-03-27,2016-05-03,37
546,3062,2016-03-27,2016-04-08,12
547,3081,2016-03-27,2016-04-07,11
548,3085,2016-03-27,2016-04-07,11
549,3086,2016-03-27,2016-04-07,11
550,3124,2016-03-27,2016-06-17,82
551,3126,2016-03-27,2016-04-16,20
552,3131,2016-03-27,2016-05-29,63
553,3134,2016-03-27,2016-04-07,11
554,3139,2016-03-27,2016-04-30,34
555,3144,2016-03-27,2016-04-08,12
556,3145,2016-03-27,2016-04-22,26
557,3146,2016-03-27,2016-05-20,54
558,3147,2016-03-27,2016-06-30,95
559,3148,2016-03-27,2016-05-26,60
560,3151,2016-03-27,2016-04-07,11
561,3152,2016-03-27,2016-04-07,11
562,3153,2016-03-27,2016-04-07,11
563,3163,2016-03-27,2016-05-27,61
564,3166,2016-03-27,2016-04-07,11
565,3167,2016-03-27,2016-04-07,11
566,3185,2016-03-27,2016-04-16,20
567,3195,2016-03-27,2016-04-07,11
568,3196,2016-03-27,2016-04-30,34
569,3197,2016-03-27,2016-05-12,46
570,3211,2016-03-27,2016-04-16,20
571,3212,2016-03-27,2016-04-07,11
572,3213,2016-03-27,2016-04-16,20
573,3215,2016-03-27,2016-04-24,28
574,3219,2016-03-27,2016-04-07,11
575,3223,2016-03-27,2016-04-16,20
576,3229,2016-03-27,2016-05-13,47
577,3249,2016-03-27,2016-04-16,20
578,3255,2016-03-27,2016-05-26,60
579,3266,2016-03-27,2016-04-09,13
580,3269,2016-03-27,2016-04-20,24
581,3270,2016-03-27,2016-04-16,20
582,3271,2016-03-27,2016-04-07,11
583,3272,2016-03-27,2016-04-16,20
584,3273,2016-03-27,2016-05-19,53
585,3275,2016-03-27,2016-06-03,68
586,3276,2016-03-27,2016-06-15,80
587,3278,2016-03-27,2016-06-21,86
588,3293,2016-03-27,2016-06-03,68
589,3297,2016-03-27,2016-04-09,13
590,3302,2016-03-27,2016-04-16,20
